location	listing_type	listing_id
dtdistrict12	sale	listing_1160
dtdistrict11	rent	listing_1161
dtdistrict11	rent	listing_1162
dtdistrict23	rent	listing_1163
dtdistrict04	room	listing_1164
dtdistrict15	rent	listing_1165
dtdistrict15	rent	listing_1166
dtdistrict27	rent	listing_1167
dtdistrict14	sale	listing_1168
dtdistrict05	rent	listing_1169
dtdistrict25	rent	listing_117
dtdistrict22	rent	listing_1170
dtdistrict14	rent	listing_1171
dtdistrict05	rent	listing_1172
dtdistrict16	rent	listing_1173
dtdistrict03	rent	listing_1174
dtdistrict22	rent	listing_1175
dtdistrict12	rent	listing_1176
dtdistrict05	rent	listing_1177
dtdistrict18	rent	listing_1178
dtdistrict14	rent	listing_1179
dtdistrict12	rent	listing_118
dtdistrict03	room	listing_1180
dtdistrict23	room	listing_1181
dtdistrict05	rent	listing_1182
dtdistrict11	rent	listing_1183
dtdistrict14	rent	listing_1184
dtdistrict15	rent	listing_1185
dtdistrict19	rent	listing_1186
dtdistrict11	room	listing_1187
dtdistrict16	sale	listing_1188
dtdistrict10	rent	listing_1189
dtdistrict19	sale	listing_119
dtdistrict12	rent	listing_1190
dtdistrict09	rent	listing_1191
dtdistrict14	rent	listing_1192
dtdistrict11	rent	listing_1193
dtdistrict14	rent	listing_1194
dtdistrict05	rent	listing_1195
dtdistrict16	rent	listing_1196
dtdistrict27	rent	listing_1197
dtdistrict22	rent	listing_1198
dtdistrict27	rent	listing_1199
dtdistrict05	rent	listing_12
dtdistrict10	sale	listing_120
dtdistrict09	rent	listing_1200
dtdistrict25	rent	listing_1201
dtdistrict03	rent	listing_1202
dtdistrict09	rent	listing_1203
dtdistrict20	rent	listing_1204
dtdistrict18	room	listing_1205
dtdistrict19	rent	listing_1206
dtdistrict19	sale	listing_1207
dtdistrict03	rent	listing_1208
dtdistrict15	rent	listing_1209
dtdistrict19	sale	listing_121
dtdistrict19	room	listing_1210
dtdistrict19	room	listing_1211
dtdistrict10	rent	listing_1212
dtdistrict03	rent	listing_1213
dtdistrict19	rent	listing_1214
dtdistrict01	rent	listing_1215
dtdistrict14	rent	listing_1216
dtdistrict09	rent	listing_1217
dtdistrict14	room	listing_1218
dtdistrict15	rent	listing_1219
dtdistrict09	rent	listing_122
dtdistrict10	rent	listing_1220
dtdistrict12	rent	listing_1221
dtdistrict15	rent	listing_1222
dtdistrict10	rent	listing_1223
dtdistrict05	rent	listing_1224
dtdistrict19	sale	listing_1225
dtdistrict15	rent	listing_1226
dtdistrict09	rent	listing_1227
dtdistrict18	room	listing_1228
dtdistrict03	rent	listing_1229
dtdistrict09	room	listing_123
dtdistrict16	sale	listing_1230
dtdistrict10	rent	listing_1231
dtdistrict20	room	listing_1232
dtdistrict08	rent	listing_1233
dtdistrict12	room	listing_1234
dtdistrict09	rent	listing_1235
dtdistrict15	rent	listing_1236
dtdistrict14	rent	listing_1237
dtdistrict25	rent	listing_1238
dtdistrict15	rent	listing_1239
dtdistrict05	rent	listing_124
dtdistrict08	rent	listing_1240
dtdistrict03	rent	listing_1241
dtdistrict04	room	listing_1242
dtdistrict22	rent	listing_1243
dtdistrict11	rent	listing_1244
dtdistrict23	room	listing_1245
dtdistrict05	rent	listing_1246
dtdistrict12	rent	listing_1247
dtdistrict12	rent	listing_1248
dtdistrict14	rent	listing_1249
dtdistrict10	rent	listing_125
dtdistrict14	rent	listing_1250
dtdistrict14	rent	listing_1251
dtdistrict11	rent	listing_1252
dtdistrict02	rent	listing_1253
dtdistrict20	rent	listing_1254
dtdistrict05	sale	listing_1255
dtdistrict07	rent	listing_1256
dtdistrict05	rent	listing_1257
dtdistrict12	room	listing_1258
dtdistrict02	rent	listing_1259
dtdistrict19	rent	listing_126
dtdistrict05	rent	listing_1260
dtdistrict02	rent	listing_1261
dtdistrict22	rent	listing_1262
dtdistrict05	sale	listing_1263
dtdistrict15	rent	listing_1264
dtdistrict10	rent	listing_1265
dtdistrict15	sale	listing_1266
dtdistrict19	sale	listing_1267
dtdistrict05	rent	listing_1268
dtdistrict13	sale	listing_1269
dtdistrict10	rent	listing_127
dtdistrict15	rent	listing_1270
dtdistrict03	sale	listing_1271
dtdistrict12	room	listing_1272
dtdistrict03	rent	listing_1273
dtdistrict10	rent	listing_1274
dtdistrict10	rent	listing_1275
dtdistrict05	rent	listing_1276
dtdistrict14	rent	listing_1277
dtdistrict14	rent	listing_1278
dtdistrict09	rent	listing_1279
dtdistrict19	rent	listing_128
dtdistrict10	rent	listing_1280
dtdistrict11	rent	listing_1281
dtdistrict11	rent	listing_1282
dtdistrict11	rent	listing_1283
dtdistrict03	rent	listing_1284
dtdistrict20	room	listing_1285
dtdistrict25	rent	listing_1286
dtdistrict03	rent	listing_1287
dtdistrict23	room	listing_1288
dtdistrict11	rent	listing_1289
dtdistrict27	rent	listing_129
dtdistrict12	rent	listing_1290
dtdistrict08	room	listing_1291
dtdistrict05	rent	listing_1292
dtdistrict11	rent	listing_1293
dtdistrict14	rent	listing_1294
dtdistrict09	rent	listing_1295
dtdistrict20	room	listing_1296
dtdistrict09	rent	listing_1297
dtdistrict09	rent	listing_1298
dtdistrict03	rent	listing_1299
dtdistrict02	rent	listing_13
dtdistrict09	rent	listing_130
dtdistrict10	rent	listing_1300
dtdistrict15	sale	listing_1301
dtdistrict15	rent	listing_1302
dtdistrict14	rent	listing_1303
dtdistrict14	rent	listing_1304
dtdistrict19	room	listing_1305
dtdistrict12	rent	listing_1306
dtdistrict14	rent	listing_1307
dtdistrict20	rent	listing_1308
dtdistrict04	rent	listing_1309
dtdistrict15	rent	listing_131
dtdistrict07	rent	listing_1310
dtdistrict09	rent	listing_1311
dtdistrict10	rent	listing_1312
dtdistrict23	rent	listing_1313
dtdistrict15	rent	listing_1314
dtdistrict03	rent	listing_1315
dtdistrict02	rent	listing_1316
dtdistrict04	rent	listing_1317
dtdistrict11	rent	listing_1318
dtdistrict13	rent	listing_1319
dtdistrict05	rent	listing_132
dtdistrict03	rent	listing_1320
dtdistrict01	room	listing_1321
dtdistrict08	rent	listing_1322
dtdistrict10	rent	listing_1323
dtdistrict09	rent	listing_1324
dtdistrict14	rent	listing_1325
dtdistrict14	rent	listing_1326
dtdistrict08	rent	listing_1327
dtdistrict05	sale	listing_1328
dtdistrict02	room	listing_1329
dtdistrict03	rent	listing_133
dtdistrict14	rent	listing_1330
dtdistrict09	rent	listing_1331
dtdistrict09	rent	listing_1332
dtdistrict12	rent	listing_1333
dtdistrict09	rent	listing_1334
dtdistrict09	rent	listing_1335
dtdistrict04	rent	listing_1336
dtdistrict04	rent	listing_1337
dtdistrict14	sale	listing_1338
dtdistrict04	sale	listing_1339
dtdistrict20	room	listing_134
dtdistrict09	rent	listing_1340
dtdistrict07	rent	listing_1341
dtdistrict03	rent	listing_1342
dtdistrict20	rent	listing_1343
dtdistrict09	rent	listing_1344
dtdistrict05	sale	listing_1345
dtdistrict11	room	listing_1346
dtdistrict14	rent	listing_1347
dtdistrict11	rent	listing_1348
dtdistrict11	rent	listing_1349
dtdistrict19	sale	listing_135
dtdistrict11	rent	listing_1350
dtdistrict11	rent	listing_1351
dtdistrict10	rent	listing_1352
dtdistrict15	rent	listing_1353
dtdistrict19	sale	listing_1354
dtdistrict17	sale	listing_1355
dtdistrict09	rent	listing_1356
dtdistrict04	room	listing_1357
dtdistrict09	rent	listing_1358
dtdistrict20	rent	listing_1359
dtdistrict08	rent	listing_136
dtdistrict15	rent	listing_1360
dtdistrict15	rent	listing_1361
dtdistrict18	sale	listing_1362
dtdistrict11	rent	listing_1363
dtdistrict11	rent	listing_1364
dtdistrict03	rent	listing_1365
dtdistrict01	room	listing_1366
dtdistrict03	rent	listing_1367
dtdistrict10	rent	listing_1368
dtdistrict14	rent	listing_1369
dtdistrict22	rent	listing_137
dtdistrict14	rent	listing_1370
dtdistrict03	room	listing_1371
dtdistrict11	rent	listing_1372
dtdistrict22	rent	listing_1373
dtdistrict22	rent	listing_1374
dtdistrict09	rent	listing_1375
dtdistrict03	room	listing_1376
dtdistrict11	rent	listing_1377
dtdistrict19	rent	listing_1378
dtdistrict05	room	listing_1379
dtdistrict15	rent	listing_138
dtdistrict03	rent	listing_1380
dtdistrict10	rent	listing_1381
dtdistrict14	sale	listing_1382
dtdistrict09	rent	listing_1383
dtdistrict28	rent	listing_1384
dtdistrict19	sale	listing_1385
dtdistrict11	rent	listing_1386
dtdistrict05	rent	listing_1387
dtdistrict10	rent	listing_1388
dtdistrict12	rent	listing_1389
dtdistrict15	rent	listing_139
dtdistrict10	rent	listing_1390
dtdistrict19	sale	listing_1391
dtdistrict15	sale	listing_1392
dtdistrict04	sale	listing_1393
dtdistrict07	rent	listing_1394
dtdistrict14	rent	listing_1395
dtdistrict09	rent	listing_1396
dtdistrict02	rent	listing_1397
dtdistrict02	rent	listing_1398
dtdistrict03	sale	listing_1399
dtdistrict22	rent	listing_14
dtdistrict19	sale	listing_140
dtdistrict15	rent	listing_1400
dtdistrict10	rent	listing_1401
dtdistrict11	rent	listing_1402
dtdistrict08	rent	listing_1403
dtdistrict19	rent	listing_1404
dtdistrict19	sale	listing_1405
dtdistrict20	rent	listing_1406
dtdistrict20	rent	listing_1407
dtdistrict15	sale	listing_1408
dtdistrict11	room	listing_1409
dtdistrict02	rent	listing_141
dtdistrict15	rent	listing_1410
dtdistrict23	sale	listing_1411
dtdistrict27	rent	listing_1412
dtdistrict03	rent	listing_1413
dtdistrict15	rent	listing_1414
dtdistrict15	sale	listing_1415
dtdistrict10	rent	listing_1416
dtdistrict10	rent	listing_1417
dtdistrict09	rent	listing_1418
dtdistrict16	rent	listing_1419
dtdistrict15	rent	listing_142
dtdistrict16	rent	listing_1420
dtdistrict10	rent	listing_1421
dtdistrict09	rent	listing_1422
dtdistrict09	rent	listing_1423
dtdistrict14	rent	listing_1424
dtdistrict14	rent	listing_1425
dtdistrict16	rent	listing_1426
dtdistrict12	rent	listing_1427
dtdistrict09	rent	listing_1428
dtdistrict20	rent	listing_1429
dtdistrict03	rent	listing_143
dtdistrict27	room	listing_1430
dtdistrict08	rent	listing_1431
dtdistrict11	rent	listing_1432
dtdistrict02	rent	listing_1433
dtdistrict14	rent	listing_1434
dtdistrict10	sale	listing_1435
dtdistrict19	rent	listing_1436
dtdistrict05	rent	listing_1437
dtdistrict11	rent	listing_1438
dtdistrict22	rent	listing_1439
dtdistrict10	rent	listing_144
dtdistrict15	rent	listing_1440
dtdistrict05	rent	listing_1441
dtdistrict27	rent	listing_1442
dtdistrict25	rent	listing_1443
dtdistrict20	rent	listing_1444
dtdistrict12	rent	listing_1445
dtdistrict23	rent	listing_1446
dtdistrict09	rent	listing_1447
dtdistrict15	rent	listing_1448
dtdistrict18	rent	listing_1449
dtdistrict14	sale	listing_145
dtdistrict20	room	listing_1450
dtdistrict03	sale	listing_1451
dtdistrict05	room	listing_1452
dtdistrict15	rent	listing_1453
dtdistrict05	sale	listing_1454
dtdistrict09	rent	listing_1455
dtdistrict19	sale	listing_1456
dtdistrict22	rent	listing_1457
dtdistrict01	rent	listing_1458
dtdistrict15	rent	listing_1459
dtdistrict02	rent	listing_146
dtdistrict13	rent	listing_1460
dtdistrict10	rent	listing_1461
dtdistrict11	rent	listing_1462
dtdistrict23	rent	listing_1463
dtdistrict19	rent	listing_1464
dtdistrict03	rent	listing_1465
dtdistrict19	rent	listing_1466
dtdistrict25	sale	listing_1467
dtdistrict10	rent	listing_1468
dtdistrict12	sale	listing_1469
dtdistrict09	rent	listing_147
dtdistrict19	sale	listing_1470
dtdistrict09	rent	listing_1471
dtdistrict12	room	listing_1472
dtdistrict22	rent	listing_1473
dtdistrict02	rent	listing_1474
dtdistrict09	rent	listing_1475
dtdistrict10	rent	listing_1476
dtdistrict23	rent	listing_1477
dtdistrict16	rent	listing_1478
dtdistrict16	rent	listing_1479
dtdistrict15	sale	listing_148
dtdistrict03	room	listing_1480
dtdistrict05	rent	listing_1481
dtdistrict13	rent	listing_1482
dtdistrict14	rent	listing_1483
dtdistrict16	rent	listing_1484
dtdistrict09	rent	listing_1485
dtdistrict02	rent	listing_1486
dtdistrict08	rent	listing_1487
dtdistrict04	rent	listing_1488
dtdistrict19	room	listing_1489
dtdistrict12	room	listing_149
dtdistrict03	rent	listing_1490
dtdistrict03	rent	listing_1491
dtdistrict11	room	listing_1492
dtdistrict12	rent	listing_1493
dtdistrict09	rent	listing_1494
dtdistrict12	rent	listing_1495
dtdistrict21	rent	listing_1496
dtdistrict13	rent	listing_1497
dtdistrict08	room	listing_1498
dtdistrict05	rent	listing_1499
dtdistrict09	rent	listing_15
dtdistrict10	rent	listing_150
dtdistrict19	rent	listing_1500
dtdistrict12	sale	listing_1501
dtdistrict11	rent	listing_1502
dtdistrict12	room	listing_1503
dtdistrict14	rent	listing_1504
dtdistrict19	rent	listing_1505
dtdistrict04	rent	listing_1506
dtdistrict19	rent	listing_1507
dtdistrict12	rent	listing_1508
dtdistrict19	rent	listing_1509
dtdistrict10	rent	listing_151
dtdistrict03	rent	listing_1510
dtdistrict12	rent	listing_1511
dtdistrict19	room	listing_1512
dtdistrict10	rent	listing_1513
dtdistrict03	rent	listing_1514
dtdistrict02	rent	listing_1515
dtdistrict14	rent	listing_1516
dtdistrict19	rent	listing_1517
dtdistrict13	room	listing_1518
dtdistrict14	rent	listing_1519
dtdistrict05	rent	listing_152
dtdistrict19	rent	listing_1520
dtdistrict20	rent	listing_1521
dtdistrict03	rent	listing_1522
dtdistrict19	rent	listing_1523
dtdistrict23	rent	listing_1524
dtdistrict09	rent	listing_1525
dtdistrict15	rent	listing_1526
dtdistrict19	rent	listing_1527
dtdistrict22	room	listing_1528
dtdistrict10	rent	listing_1529
dtdistrict10	rent	listing_153
dtdistrict19	sale	listing_1530
dtdistrict10	rent	listing_1531
dtdistrict04	sale	listing_1532
dtdistrict13	rent	listing_1533
dtdistrict03	rent	listing_1534
dtdistrict14	rent	listing_1535
dtdistrict10	rent	listing_1536
dtdistrict19	rent	listing_1537
dtdistrict14	rent	listing_1538
dtdistrict02	rent	listing_1539
dtdistrict22	rent	listing_154
dtdistrict05	room	listing_1540
dtdistrict05	rent	listing_1541
dtdistrict18	rent	listing_1542
dtdistrict14	rent	listing_1543
dtdistrict03	rent	listing_1544
dtdistrict10	rent	listing_1545
dtdistrict05	room	listing_1546
dtdistrict19	rent	listing_1547
dtdistrict01	rent	listing_1548
dtdistrict19	room	listing_1549
dtdistrict03	rent	listing_155
dtdistrict05	rent	listing_1550
dtdistrict05	rent	listing_1551
dtdistrict12	room	listing_1552
dtdistrict03	room	listing_1553
dtdistrict05	rent	listing_1554
dtdistrict23	sale	listing_1555
dtdistrict22	rent	listing_1556
dtdistrict04	room	listing_1557
dtdistrict23	rent	listing_1558
dtdistrict05	room	listing_1559
dtdistrict05	rent	listing_156
dtdistrict20	rent	listing_1560
dtdistrict15	sale	listing_1561
dtdistrict12	rent	listing_1562
dtdistrict05	rent	listing_1563
dtdistrict05	room	listing_1564
dtdistrict09	rent	listing_1565
dtdistrict15	rent	listing_1566
dtdistrict08	room	listing_1567
dtdistrict16	rent	listing_1568
dtdistrict10	rent	listing_1569
dtdistrict10	rent	listing_157
dtdistrict05	rent	listing_1570
dtdistrict11	rent	listing_1571
dtdistrict14	rent	listing_1572
dtdistrict03	rent	listing_1573
dtdistrict19	room	listing_1574
dtdistrict12	rent	listing_1575
dtdistrict15	rent	listing_1576
dtdistrict02	rent	listing_1577
dtdistrict10	rent	listing_1578
dtdistrict05	room	listing_1579
dtdistrict15	rent	listing_158
dtdistrict19	rent	listing_1580
dtdistrict15	rent	listing_1581
dtdistrict03	rent	listing_1582
dtdistrict05	rent	listing_1583
dtdistrict27	room	listing_1584
dtdistrict22	rent	listing_1585
dtdistrict10	rent	listing_1586
dtdistrict19	rent	listing_1587
dtdistrict28	rent	listing_1588
dtdistrict13	rent	listing_1589
dtdistrict19	sale	listing_159
dtdistrict03	rent	listing_1590
dtdistrict19	rent	listing_1591
dtdistrict14	rent	listing_1592
dtdistrict09	rent	listing_1593
dtdistrict02	rent	listing_1594
dtdistrict05	rent	listing_1595
dtdistrict05	rent	listing_1596
dtdistrict12	room	listing_1597
dtdistrict05	rent	listing_1598
dtdistrict23	rent	listing_1599
dtdistrict10	rent	listing_16
dtdistrict25	rent	listing_160
dtdistrict13	rent	listing_1600
dtdistrict12	rent	listing_1601
dtdistrict05	rent	listing_1602
dtdistrict18	rent	listing_1603
dtdistrict12	rent	listing_1604
dtdistrict13	room	listing_1605
dtdistrict04	rent	listing_1606
dtdistrict16	rent	listing_1607
dtdistrict19	rent	listing_1608
dtdistrict19	rent	listing_1609
dtdistrict04	rent	listing_161
dtdistrict23	rent	listing_1610
dtdistrict12	rent	listing_1611
dtdistrict17	sale	listing_1612
dtdistrict15	rent	listing_1613
dtdistrict16	rent	listing_1614
dtdistrict10	rent	listing_1615
dtdistrict03	rent	listing_1616
dtdistrict10	rent	listing_1617
dtdistrict03	sale	listing_1618
dtdistrict14	rent	listing_1619
dtdistrict21	rent	listing_162
dtdistrict15	rent	listing_1620
dtdistrict13	rent	listing_1621
dtdistrict08	rent	listing_1622
dtdistrict03	rent	listing_1623
dtdistrict21	rent	listing_1624
dtdistrict16	sale	listing_1625
dtdistrict11	rent	listing_1626
dtdistrict19	room	listing_1627
dtdistrict15	rent	listing_1628
dtdistrict25	sale	listing_1629
dtdistrict10	rent	listing_163
dtdistrict21	rent	listing_1630
dtdistrict27	room	listing_1631
dtdistrict20	room	listing_1632
dtdistrict12	rent	listing_1633
dtdistrict02	rent	listing_1634
dtdistrict12	rent	listing_1635
dtdistrict19	rent	listing_1636
dtdistrict05	rent	listing_1637
dtdistrict03	rent	listing_1638
dtdistrict19	rent	listing_1639
dtdistrict09	rent	listing_164
dtdistrict02	room	listing_1640
dtdistrict20	room	listing_1641
dtdistrict15	rent	listing_1642
dtdistrict16	rent	listing_1643
dtdistrict15	rent	listing_1644
dtdistrict15	rent	listing_1645
dtdistrict19	rent	listing_1646
dtdistrict14	rent	listing_1647
dtdistrict15	rent	listing_1648
dtdistrict12	rent	listing_1649
dtdistrict10	rent	listing_165
dtdistrict13	rent	listing_1650
dtdistrict19	room	listing_1651
dtdistrict14	rent	listing_1652
dtdistrict09	rent	listing_1653
dtdistrict09	rent	listing_1654
dtdistrict09	room	listing_1655
dtdistrict20	rent	listing_1656
dtdistrict09	rent	listing_1657
dtdistrict08	rent	listing_1658
dtdistrict15	sale	listing_1659
dtdistrict12	rent	listing_166
dtdistrict19	sale	listing_1660
dtdistrict05	rent	listing_1661
dtdistrict11	rent	listing_1662
dtdistrict05	rent	listing_1663
dtdistrict14	rent	listing_1664
dtdistrict15	rent	listing_1665
dtdistrict05	rent	listing_1666
dtdistrict09	rent	listing_1667
dtdistrict10	rent	listing_1668
dtdistrict12	rent	listing_1669
dtdistrict03	rent	listing_167
dtdistrict02	rent	listing_1670
dtdistrict15	rent	listing_1671
dtdistrict23	rent	listing_1672
dtdistrict19	room	listing_1673
dtdistrict08	room	listing_1674
dtdistrict18	room	listing_1675
dtdistrict10	rent	listing_1676
dtdistrict23	rent	listing_1677
dtdistrict11	rent	listing_1678
dtdistrict10	rent	listing_1679
dtdistrict09	rent	listing_168
dtdistrict19	rent	listing_1680
dtdistrict09	rent	listing_1681
dtdistrict11	rent	listing_1682
dtdistrict05	room	listing_1683
dtdistrict05	rent	listing_1684
dtdistrict11	room	listing_1685
dtdistrict03	rent	listing_1686
dtdistrict16	sale	listing_1687
dtdistrict16	rent	listing_1688
dtdistrict12	rent	listing_1689
dtdistrict21	rent	listing_169
dtdistrict16	rent	listing_1690
dtdistrict03	rent	listing_1691
dtdistrict16	rent	listing_1692
dtdistrict21	room	listing_1693
dtdistrict15	rent	listing_1694
dtdistrict15	rent	listing_1695
dtdistrict15	rent	listing_1696
dtdistrict14	rent	listing_1697
dtdistrict09	rent	listing_1698
dtdistrict11	rent	listing_1699
dtdistrict03	rent	listing_17
dtdistrict07	rent	listing_170
dtdistrict03	room	listing_1700
dtdistrict09	rent	listing_1701
dtdistrict22	room	listing_1702
dtdistrict10	rent	listing_1703
dtdistrict10	rent	listing_1704
dtdistrict15	rent	listing_1705
dtdistrict11	room	listing_1706
dtdistrict15	rent	listing_1707
dtdistrict10	rent	listing_1708
dtdistrict19	sale	listing_1709
dtdistrict15	rent	listing_171
dtdistrict16	rent	listing_1710
dtdistrict19	rent	listing_1711
dtdistrict12	rent	listing_1712
dtdistrict05	room	listing_1713
dtdistrict19	sale	listing_1714
dtdistrict07	rent	listing_1715
dtdistrict05	rent	listing_1716
dtdistrict16	rent	listing_1717
dtdistrict15	rent	listing_1718
dtdistrict05	rent	listing_1719
dtdistrict14	sale	listing_172
dtdistrict19	rent	listing_1720
dtdistrict28	rent	listing_1721
dtdistrict12	room	listing_1722
dtdistrict18	room	listing_1723
dtdistrict20	rent	listing_1724
dtdistrict10	rent	listing_1725
dtdistrict03	rent	listing_1726
dtdistrict09	rent	listing_1727
dtdistrict21	rent	listing_1728
dtdistrict10	rent	listing_1729
dtdistrict15	rent	listing_173
dtdistrict09	rent	listing_1730
dtdistrict22	rent	listing_1731
dtdistrict10	rent	listing_1732
dtdistrict19	rent	listing_1733
dtdistrict07	rent	listing_1734
dtdistrict18	room	listing_1735
dtdistrict05	room	listing_1736
dtdistrict27	rent	listing_1737
dtdistrict15	rent	listing_1738
dtdistrict15	rent	listing_1739
dtdistrict10	rent	listing_174
dtdistrict19	sale	listing_1740
dtdistrict14	rent	listing_1741
dtdistrict04	rent	listing_1742
dtdistrict12	rent	listing_1743
dtdistrict10	rent	listing_1744
dtdistrict19	sale	listing_1745
dtdistrict10	rent	listing_1746
